"idpersona","idmatriculacion","idcarrera","idcohorte","carrera_siglas","carrera","tipo","lf","cohorte","cohorte_anio","estado"
"902","876","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"933","903","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"1026","1009","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"1051","1024","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Inactivo"
"1053","1026","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"1060","1031","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Inactivo"
"1065","1038","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"1098","1070","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Reprobado"
"1153","1127","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"1187","1165","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"1196","1169","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Reprobado"
"1233","1208","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"1252","1232","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"1264","1244","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"1275","1251","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Inactivo"
"1260","1265","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Abandonó"
"1292","1268","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"1296","1271","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Abandonó"
"1300","1276","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"1347","1323","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Inactivo"
"1380","1352","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
"1379","1353","1","1","GESTIONINI","Tramo de Especialización Docente de Nivel Superior en Conducción y Gestión Educativa en la Educación Inicial","Trayecto","Formación de directores y supervisores","Septiembre 2016","2016","Aprobado"
